DW_LOCALIDADE;id_endereco;nm_cidade;uf_estado;sg_pais
28b5c1631ecc7943376d69183d6ac553a9b04d2f41b47054c61ccda435de1072;10008638;Milesburg;PA;US
2d1b2ad4765cd30ce568efac942a95e45563f688173c7e7de7a3df2d7bb122f2;10020914;Calhoun;LA;US
aa28d50639e26669db5daf099311f5a736826cb9e5ec96c6ac04149cff4358e1;10009631;Corona;CA;US
989116c8fcab6d31e06c6d31d072123de81d4fc60681ca34050a96dfa9baaeb7;10025032;Montreal;QU;CA
949e117f30998aafafe9b28cb1f510340e27696d7d9fbd70d10a56f706a8795e;10025814;Houston;TX;US
a4e3ceaffcb0fa66c4d6cb347163fdca3d1cced7e72538b8ad7621d6ce9348a3;10010698;Gardena;CA;US
4690b822057b075bbfea16f20cf4b5a2f81260a89ebfc95092e9748f3ac0bec5;10026581;Savannah;GA;US
adc11afc0336f9d3c5098bb48176c7c87f4a86408f55c73417cb7f5ac3dde9ed;10002765;Hialeah;FL;US
7716b8ea2bf2c6dd8834289922397e709329efec03f88e2c829e6193b14f9e3d;10009633;\"\";"";UK
1b5d38690b7b524a4c9ee3dae690411044f04e688dac3bd5fec745d4638272d1;10023509;Tampa;FL;US
ecc545ffddd31244c9a23171a45d779d52ea35a115cf357973e21cdf47e76a19;10025021;Depere;WI;US
a406508ae139a66b369e50b542d589212d85dee42b1877fd4409990b7d57c819;10006037;Miami;FL;US
524c915f13f9093db81dfe598a4825d089faf52bc13daccc8cdac5186d0aa0a7;10026081;Bremen;"";UK
6e33864759c383fa81e7537ea03853824c611d2771a8409f169e9a31f7ce6a96;10010923;Seocho-GU;"";AU
8bbba48d5dd95dca2cf906e8f2796b5113c0c93668843e693f47ee3468b16ad5;10024541;Bedford;OH;US
bd12f25f50c20de8b814791bee037f01dcf39d787fc2064f87ef71266b73f578;10025304;\"\";"";UK
137647c34bc81e0437f4975d9c293784614dea5c9c8e9b7b7b790429e7c87896;10000471;Jeddah;"";AU
a0c82c25375efa2eeda6ad262a04ca7deee70e0a60844cb23fc20feee3a389c9;10013472;Indianapolis;IN;US
15fb8e0a8eb18c3b1901110ed4b49adf6bd4d8755deaae5ba55a46d315b4a913;10022434;Placentia;CA;US
46fcfb2e3dfd9d237b9996b8fa3a815cc3317c362e068fdc64d70c07947e4806;10012715;Exeter;PA;US
da8d8128053d6813f268b0323747a0d417dd4ad092cb180feabb96ac7f3cd253;10022750;Watervliet;MI;US
ab65ea17bfe1a7c690fe1934e2313a4dc2bae26f177a5b43f29664f8b3976719;10022249;Shelby;NC;US
48cd8096f14ed642d40556e673a375d6ad8526a568b157ea7320f3c0df71c245;10012226;Troy;MI;US
26033e7c99495d8b158c73024266575f987f0a2a6b2b3be34fba4cd9616a858f;10021412;Clackamas;OR;US
84fd789c66a4f6ca99b2f322fe57f5ba3f5c2e0758e171de9c256da3b2ee8750;10004516;Lighthorne Warwick;"";UK
0ac27caa4f118f44e9b7730aecdde9c1b5b998b6cabd6a840c04cede0e6f5c9e;10016045;Monroe;WI;US
9fe9b04181e7338d6771cf45d69a759760a43de8fb5d6ed1ff739a81ea28fe96;10019900;Sacramento;CA;US
31de208b4a117fc93aa9a6f9ff8884a2660a7fdc041da2ab49627e660c7a7c56;10027348;Tampa;FL;US
75a450f53af5a91f7ebcb2824fa47cf343d1e1d8a74b75bb6eda5a7f8e7ae85f;10023022;Surrey;BC;CA
ea54cce8c422a8e0b5ffcfbbdd12ae0be1e5fc67b47fde15f7968489fd4d21eb;10024009;Tulsa;OK;US
40bd1a53c3b78cdf8eeb89cf61317fcb13a2ac42ec04c1b6fb66b59f10da4ebc;10020639;Tulsa;OK;US
5753afa139eca5b1e43888feeed9a6886af622bb73a1d566a54343e219b892ed;10007564;Cleveland;TX;US
e79d4eba645a2c65e85ee3d38f8a57bb53b6a1f47a0a10e5b97d87cf535c8372;10024260;Spokane;WA;US
865ef0860b713e13ab56a5453306bbfa398b883bd670fb416001873a08e3f996;10024016;Kanagawa;"";AU
3366db7510b6808d61fefe23a599eca41f1f9b630c253f892d07576ccbb16495;10026839;Greenwood;MS;US
cec2c49cfe9479ced4ddab660c75606dfa04ebd65e96afa7d563018493fb4995;10025495;Birmingham;AL;US
2a1967206d15df8983c8f8842f73c505ffa75c815402daf1ae893ded91545803;10020915;McHenry;IL;US
2e16913375c60f21e79f497b4dc032023427c7fe7d6a83265f2c63abb449bb60;10019665;Hammond;IN;US
f64282b12d121d2379d9bc17872f1c30b892f6b9f962997d29b3e97bc827cce5;10007120;Rexburg;ID;US
646bd04f0973bd611322ee5f0de352537d8dce358a2fc0b0e19437e3db0923cb;10013232;Milwaukie;WI;US
771815c5283b5ad6131c768caa49990d76bfa439c709651260e8a43127aee312;10021422;Brea;CA;US
4abbab24cf0fa9ae823f52ab34c30134e584f9c5e1b737e17eb3f4c549768854;10025039;Mentor;OH;US
9f3c34a75d5a7440c5679cc2f7c4074e06079c4800c87b5c1f65ff6b89cbe0b3;10019400;Valparaiso;IN;US
50de5c1636caba6f5aa361c0e87abf1bce69a22341cd22608a30ce3a9112ac9d;10000481;Chicago;IL;US
fc59acaf9033df3a7917ddc000f38b64dd20eed014000b90448c8ca6b76afa2b;10012422;Saginaw;AL;US
19102ed0d4309e3d4dcf0d61a285792bd667349d3c262f54493e0664d70a0fba;10007355;Amarillo;TX;US
5248784c0bf57618792bdf51a09d8ec14c291eec442d9de6da8c535d07bd8262;10025049;Milwaukie;OR;US
2a9d6a0e415e6c32a8d9b82fabea121f1532c4dc2e586043b0c35cbe5e77dbc8;10008593;Highland;IL;US
53f8fdbf539758ce89a5593cdc6128d1656638ebf1150464c93029d03c6ec46e;10009156;Attica;IN;US
1a6075ab809c332574e007eec06cbe95e9a81f89a99d91415f437eeffded187d;10007591;FIN 00710;"";UK
c23f6cc98b32781b66886af95545f245ce7712040b8a760b72eae30d148e1f35;10025248;Kent;WA;US
939d939ae3221306bc9009ce7978935be392be204aca2f9ac69363cd01128278;10014047;Fresno;CA;US
16e4e1b69fe80a008e67ddcda062492a44ea2800489dcd395e6c64f0c9f67c14;10025769;Redding;CA;US
b4e6f5b416d7281042ae4ce4d449d2800865da72f65d3b522457dad339911869;10005006;Boise;ID;US
3ee5ddf9f1882f7b180ae8684a01b6c64e6f00ad2cbb32caafd79169a5d07cb1;10025022;West Midlands;"";UK
0f8f5a7b36a04b56599469656b985965bee987355d98e05a69fe0608868ddaa9;10025264;Tuscon;AZ;US
2e28126255c88a1731da32f3eb869075af4a90cd03a8b4b45cb3571ee3676515;10007123;Little Rock;AR;US
2300e3c9395ea6af117d0c1f3b2a9b6d310de831015b933d6cddaf0ce65d9c14;10002526;EE 0026 Tallinn;"";UK
7a7e4edb2a18b60beca519c90d619534fa35c3aa2a5ede98879cc5a008368d93;10000480;Phoenix;AZ;US
cfce68ddd510d4c4ba7a192cc598b9de848257062a113ca5b4eb4b6ffdd6c1dd;10020393;Fort Collins;CO;US
4736f5892d57c35cb9d8665995b54548a1d1ce6aaebd0b09e3be2632f0a86748;10020193;\"\";"";UK
f9fd76a5338ce16f15de70b61891c7562c0ef89ab61637bf4589a8f8d19de0b7;10009657;Lewiston;ME;US
8290c0b5cf3ba68b68913a9369982efe2ce54d7c9e5e1b9af7a6345aba4ed338;10022746;A 5102 Anthering;"";UK
01bf630371e5b0cd5f02c359c9b6a9442ff32b4adeb870ca6837c5c0497e2e12;10016564;Traverse City;MI;US
80c5a125493021661d6beff71bed7cdcd7a2ebb54676c8d4f98735f69f4fc4cc;10018628;Tigard;OR;US
52cce8d06e46aa4c9c0274335a67089cd48e92af64094065c5e04bcaf4aef59b;10025758;Oklahoma City;OK;US
5ddc0a1d91be3d251d3c1870d3d4d8cab53d8a0dc617a3995346579f3105ed28;10010974;Chippewa Falls;WI;US
58dc10aeddb1fbd0afb90d4adf37d07f9d47a4fcc6620d77ee6179be47665f43;10018363;Panama Rep De Panama;"";IR
f8fe19d8f2fe4a35fc0908b15c93d12dce2ae4a12afbd381b5690a39c12fb347;10022470;Ormond Beach;FL;US
453a4315f4306f72c2188540279297e5c310af2e0d9e14ed2c223da1e738e33b;10020445;Rapid City;SD;US
23bcf12884294e5629fffda30d57eb354457ecb235c067a05c8c6defee4b584f;10020684;Montgomery;AL;US
e34cafe5fccfec56d873d00cbbbb6473d977a8d40f692dc43a1ff8835ce8a012;10025288;Furstentum;"";AU
