DW_CLIENTE;DW_TEMPO;DW_LOCALIDADE;vr_total_venda
3bffddfc526acb9adc187d583bc9c7c24320322a915c2df26ecdb0ae9b6452a7;fa5f74e5858408b01007f4c81a923a5e7c7c4b6b2927bcb540bc919d6a76bd40;cfce68ddd510d4c4ba7a192cc598b9de848257062a113ca5b4eb4b6ffdd6c1dd;""
5fdaf6de6619420d203e4f9e469cea240e5cc3e5e806c06d115836681c763ccb;edc2a3f2d0de18ef2581f012fce0685456c2fe907a395a566938c2cc95f35e2d;e95821f90486c9e02fedfd01a075db4a3b5dfe6c79f76927da46c5eb52aa5aaa;""
3dee3bc66838e920f502bc17e471cf5b2b6c14f44153f8be2966c55e02bb9b30;61e86d6c8d17581bc970e7d072bbd79b3d6b1d47fed565fea7ea2254bb0b900c;bbc0103539bacdfd91bee40a8b15f3fc1c7fad69ae5332fdcb57a2e0a045f399;""
090182a7af26a7a29cbf84d9bb877e73da6700c877799265c4a3e6567cadc9c7;84a323d258ec83dd872270f8959c44029835370228c4d82058d02186c6301c48;90d33f50a8e5a5baa3fa9837c93199c61382113d90bb12764e71b25cee3ccc36;""
ba622b2c6061b990d969e61da611829c6b743bb4332c98e80b69ba0e49ef2a0f;2db2b60ac94f07fa2c30fd43ae241069839392a94b1b65060418c8667a0367eb;6046602bc6c28cd5c28b8e4c04df905abe4ef5b014d87569d51c04e3e9ea9972;""
96b72493b94691fd2370bf1cca6ba8b2bad3f07369a49297c7bb9078128cec55;9e108098ada896dee857e108b06da2946fa70fbf5f1d27ddd2eaa7b89a7b34c7;5ac66d19aeafdc63f064e04d6098f3d4b0111b3efe8713533a224d626119487a;1241.0
5af23b34525ea36ca6ba8c1abe6ab42463b1c270d504cd8b2b5ab04e621b91ba;fad0ac7cd6f1bdc3a2868c46ee6c06078cbfa506c0b9d5a3a2a498c230db18d6;93608b2abd9b5f31c7bd67fb8aab3796a65f3e8fc44d30ebb6b9dd5bb0cde38d;""
3e54c90638177efc0c8b7bda032cf88a81795a0e087dba6428a37e66b2598411;da45828b4f81cc1d97fbd20f13c7cdb065942b05e8cd4820cdf6650579460d9d;8097389510016e63c541bb3616b586a1d0ddece3c341806e2579e1d335b7b36a;""
18461c144ba41c637e8e57c9013f8681fcbd8af9cc8ca2cbc1d8bbff31d64070;9bf36dff99a81ed60b881983d2a27f9f40419daf134c70114478278170ea9697;d98cd46b29223729db6152fcea6b8ca75aaaff316a8f1983ece2558eff534417;1051.0
3dee3bc66838e920f502bc17e471cf5b2b6c14f44153f8be2966c55e02bb9b30;7ef465638b71163be1372490bc191bf760ba3eb350e9563c9b230ca193bfbc00;bbc0103539bacdfd91bee40a8b15f3fc1c7fad69ae5332fdcb57a2e0a045f399;5066.0
